Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
Manhattan,Inwood,SW West 212th Street & 10th Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,34,6914,
Brooklyn,Park Slope,Old Stone House Brooklyn,"336 3rd St, Brooklyn, NY 11215",Old Stone House Brooklyn,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,,306,39,,,,40.6727118,-73.984731,78,6777,POINT (-73.984731 40.6727118)
Bronx,Norwood,NE Hull Avenue & East 207th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,207,11,,,,,,52,7115,
Manhattan,East Harlem (South),SE East 112th Street & Park Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,23,6819,
Queens,Astoria (Central),Astoria Pug: Broadway,"32-11 31st St, Queens, NY 11106",Astoria Pug,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,,,,40.761472,-73.925611,114,7046,POINT (-73.925611 40.761472)
Brooklyn,East New York (North),East New York Farms: St. John Community Garden,"474 New Jersey Ave, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,,,,40.6676529,-73.8940832,75,7083,POINT (-73.8940832 40.6676529)
Brooklyn,Bedford-Stuyvesant (East),NE Lewis Avenue & Green Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,6837,
Brooklyn,Crown Heights (North),SE Rochester Avenue & Park Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,6851,
Brooklyn,Bushwick (West),SW Central Avenue & Noll Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,6935,
Manhattan,Financial District-Battery Park City,Battery Park City Authority Rockefeller Park,Lower level downstairs at corner of Chambers St and River Terrace,Battery Park City Authority,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://bpca.ny.gov/nature-and-sustainability/sustainability/,101,1,,,,40.7183877,-74.0148782,1,6716,POINT (-74.0148782 40.7183877)
